"ƒ´∏ﬁ∂Û π¯»£","¡÷º“","ªÛºº º≥∏Ì","√¯¡§ Ω√¿€ Ω√∞£","√¯¡§ ¡æ∑· Ω√∞£","ƒ´∏ﬁ∂Û ≈Î∞˙ ¿Œø¯ (IN)","ƒ´∏ﬁ∂Û ≈Î∞˙ ¿Œø¯ (OUT)","µ•¿Ã≈Õ¿‘∑¬Ω√∞£"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","0001-01-01 00:00:00","2015-10-20 15:21:34","0","3","2015-10-20 15:21:34"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 00:04:40","2015-10-27 00:14:40","5","2","2015-10-27 00:14:40"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 00:04:40","2015-10-27 00:14:40","9","3","2015-10-27 00:14:40"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 00:04:40","2015-10-27 00:14:40","4","2","2015-10-27 00:14:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 00:04:40","2015-10-27 00:14:40","5","11","2015-10-27 00:14:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 00:14:40","2015-10-27 00:24:40","10","8","2015-10-27 00:24:40"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 00:14:40","2015-10-27 00:24:40","7","1","2015-10-27 00:24:40"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 00:14:40","2015-10-27 00:24:40","11","17","2015-10-27 00:24:40"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 00:14:40","2015-10-27 00:24:40","3","2","2015-10-27 00:24:40"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 00:24:40","2015-10-27 00:34:40","6","6","2015-10-27 00:34:40"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 00:24:40","2015-10-27 00:34:40","25","20","2015-10-27 00:34:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 00:24:40","2015-10-27 00:34:40","52","49","2015-10-27 00:34:40"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 00:24:40","2015-10-27 00:34:40","2","7","2015-10-27 00:34:40"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 00:34:40","2015-10-27 00:44:40","7","4","2015-10-27 00:44:40"
"18","¿≤∞Ó∑Œ3±Ê 50 (¥ˆº∫ø©∞Ì)","","2015-10-27 00:34:40","2015-10-27 00:44:40","6","0","2015-10-27 00:44:40"
"28","∫œ√Ã∑Œ11±Ê 1 (∞°»∏µø 64-1)","","2015-10-27 00:34:40","2015-10-27 00:44:40","3","4","2015-10-27 00:44:40"
"27","∫œ√Ã∑Œ5∞°±Ê 38 (»≠µø 72)","","2015-10-27 00:34:40","2015-10-27 00:44:40","11","20","2015-10-27 00:44:40"
"22","∞Ëµø±Ê 69 (∞°»∏µø 65-2)","","2015-10-27 00:44:40","2015-10-27 00:54:40","2","1","2015-10-27 00:54:40"
