"카메라 번호","주소","상세 설명","측정 시작 시간","측정 종료 시간","카메라 통과 인원 (IN)","카메라 통과 인원 (OUT)","데이터입력시간"
"2","계동길 69","계동교회 앞","2020-12-01 00:00:37","2020-12-01 00:10:37","1","5","2020-12-01 00:10:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 00:00:37","2020-12-01 00:10:37","3","2","2020-12-01 00:10:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 00:00:37","2020-12-01 00:10:37","4","4","2020-12-01 00:10:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 00:10:37","2020-12-01 00:20:37","12","2","2020-12-01 00:20:37"
"2","계동길 69","계동교회 앞","2020-12-01 00:10:37","2020-12-01 00:20:37","4","5","2020-12-01 00:20:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 00:10:37","2020-12-01 00:20:37","4","7","2020-12-01 00:20:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 00:20:37","2020-12-01 00:30:37","10","7","2020-12-01 00:30:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 00:20:37","2020-12-01 00:30:37","17","8","2020-12-01 00:30:37"
"2","계동길 69","계동교회 앞","2020-12-01 00:20:37","2020-12-01 00:30:37","7","5","2020-12-01 00:30:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 00:30:37","2020-12-01 00:40:37","10","7","2020-12-01 00:40:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 00:30:37","2020-12-01 00:40:37","17","17","2020-12-01 00:40:37"
"2","계동길 69","계동교회 앞","2020-12-01 00:30:37","2020-12-01 00:40:37","7","6","2020-12-01 00:40:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 00:40:37","2020-12-01 00:50:37","10","11","2020-12-01 00:50:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 00:40:37","2020-12-01 00:50:37","32","21","2020-12-01 00:50:37"
"2","계동길 69","계동교회 앞","2020-12-01 00:40:37","2020-12-01 00:50:37","13","14","2020-12-01 00:50:37"
"4","북촌로5가길 38","삼청파출소 사잇길","2020-12-01 00:50:37","2020-12-01 01:00:37","10","12","2020-12-01 01:00:37"
"1","율곡로3길 50","덕성여고 앞","2020-12-01 00:50:37","2020-12-01 01:00:37","32","21","2020-12-01 01:00:37"
